Spectrum Version: 5.31,,,,,,,,,,,,,,
country,module,indicator,configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,AIDS (AIM),PLHIV on ART,All ages,38005.65173,42516.73,47524.57,49801.51,52089.16,53581.99,54446.28,55076.94,55651.63,56117.1,56627.29
Cameroon,AIDS (AIM),PLHIV on ART,All ages,82778.49,97533.03,114241.21,128919.49,138286.88,188369.46,279739.02,362786.34,452659.72,549123.21,652406.62
DRC,AIDS (AIM),PLHIV on ART,All ages,39232.83,50258.58,59794.51,73428.45,90337.49,145437.62,179521.65,215827.08,254861.77,297084.78,342660.53
Haiti,AIDS (AIM),PLHIV on ART,All ages,27593.32,32037.35,39077.33,48997.35,58788.24,68394.52,79907.54,92357.3,105691.77,112876.62,119847.12
Malawi,AIDS (AIM),PLHIV on ART,All ages,224724.83,287148.62,364208.16,436027.6,502036.57,577484.55,654088.93,717880.66,768820.84,809420.37,837645.83
Morocco,AIDS (AIM),PLHIV on ART,All ages,2818.287,3501.28555,4514.86964,5692.88237,6760.21995,8232.50352,10122.20874,11717.14411,13789.97,15288.34,16436.6
Myanmar,AIDS (AIM),PLHIV on ART,All ages,25457.59644,34940.69763,46883.48,60649.71,72535.87,89377.15,104730.4,108581.21,108528.44,107901.06,106898.78
Nigeria,AIDS (AIM),PLHIV on ART,All ages,330715.18,394991.27,482923.99,586423.86,693060.19,1235953.46,1413469.84,1600498.34,1791039.88,1987306.37,2192672.34
Pakistan,AIDS (AIM),PLHIV on ART,All ages,1612.25791,2255.79,2832.97,3724.71,4754.84,5473.42,13227.12,24417.35,40227.01,62402.18,93262.5
South Africa,AIDS (AIM),PLHIV on ART,All ages,774386.57,1272707.79,1979732.22,2537769.99,2908489.98,4567327.68,4954244.29,5169938.88,5359602.15,5537536.28,5703834.72
South Sudan,AIDS (AIM),PLHIV on ART,All ages,2034.38,2943.65,4093.06,5857.85,9237.4,11517.73,11992.72,13672.36,15436.38,16008.04,16495.11
Thailand,AIDS (AIM),PLHIV on ART,All ages,192511.02,209488.95,231230.99,243565.17,260405.71,272912.9,272225.58,271637.32,271057.87,270334.46,269686.94
Uganda,AIDS (AIM),PLHIV on ART,All ages,232567.77,286860.32,375823.06,517168.44,672064.75,784370.38,897418.24,1023037.79,1157831.34,1302206.18,1456752.03
Viet Nam,AIDS (AIM),PLHIV on ART,All ages,43931.81714,55128.68174,66824.42219,77689.73,87974.28,98530.3,106795.29,111186.99,114137.57,116742.23,118883.02
Zambia,AIDS (AIM),PLHIV on ART,All ages,314082.27,380009.08,448309.12,525743.44,614256.51,712106.69,817842.46,922008.62,1017344.15,1094898.78,1162720.4
Zimbabwe,AIDS (AIM),PLHIV on ART,All ages,292543.08,423863.29,525254.85,615815.56,726659.88,1002351.59,1125853.4,1179038.09,1218639.95,1250677.25,1274703.29
Mozambique,AIDS (AIM),PLHIV on ART,All ages,194521.5208,246194.99,291696.59,404172.87,568247.83,718068.88,811759.92,923916.8,1056688.48,1132249.01,1193746.07
Kenya,AIDS (AIM),PLHIV on ART,All ages,388074.8347,501871.4379,580063.1688,630163.5965,710902.1912,802508.809,890591.7528,981556.5503,1066889.163,1149215.09,1225642.91
Tanzania,AIDS (AIM),PLHIV on ART,All ages,232937.6,260234.21,348710.03,471269.11,576481.44,731722,871516.38,985036.29,1051500.12,1101450.06,1144539.21
